variable,dataset,version,resolution,frequency,year_month,long_name,path
precipitation,GSMaP,v6,0.1 degree,day,200003,daily averaged precip(mm/hr),/g/data/su28/GSMaP/v6/netcdf/rnl_gauge/day/00Z-23Z/gsmap_200003.nc
precipitation,GSMaP,v6,0.1 degree,day,200004,daily averaged precip(mm/hr),/g/data/su28/GSMaP/v6/netcdf/rnl_gauge/day/00Z-23Z/gsmap_200004.nc
precipitation,GSMaP,v6,0.1 degree,day,200005,daily averaged precip(mm/hr),/g/data/su28/GSMaP/v6/netcdf/rnl_gauge/day/00Z-23Z/gsmap_200005.nc
precipitation,GSMaP,v6,0.1 degree,day,200006,daily averaged precip(mm/hr),/g/data/su28/GSMaP/v6/netcdf/rnl_gauge/day/00Z-23Z/gsmap_200006.nc
precipitation,GSMaP,v6,0.1 degree,day,200007,daily averaged precip(mm/hr),/g/data/su28/GSMaP/v6/netcdf/rnl_gauge/day/00Z-23Z/gsmap_200007.nc
precipitation,GSMaP,v6,0.1 degree,day,200008,daily averaged precip(mm/hr),/g/data/su28/GSMaP/v6/netcdf/rnl_gauge/day/00Z-23Z/gsmap_200008.nc
precipitation,GSMaP,v6,0.1 degree,day,200009,daily averaged precip(mm/hr),/g/data/su28/GSMaP/v6/netcdf/rnl_gauge/day/00Z-23Z/gsmap_200009.nc
precipitation,GSMaP,v6,0.1 degree,day,200010,daily averaged precip(mm/hr),/g/data/su28/GSMaP/v6/netcdf/rnl_gauge/day/00Z-23Z/gsmap_200010.nc
precipitation,GSMaP,v6,0.1 degree,day,200011,daily averaged precip(mm/hr),/g/data/su28/GSMaP/v6/netcdf/rnl_gauge/day/00Z-23Z/gsmap_200011.nc
precipitation,GSMaP,v6,0.1 degree,day,200012,daily averaged precip(mm/hr),/g/data/su28/GSMaP/v6/netcdf/rnl_gauge/day/00Z-23Z/gsmap_200012.nc
precipitation,GSMaP,v6,0.1 degree,day,200101,daily averaged precip(mm/hr),/g/data/su28/GSMaP/v6/netcdf/rnl_gauge/day/00Z-23Z/gsmap_200101.nc
