variable,dataset,domain,model,experiment,member,resolution,frequency,time_range,long_name,path
Rx1day,MMLEAv2,atmosphere,ACCESS-ESM1-5,historical,r10i1p1f1,g025,Aday,185001-201412,Precipitation,/g/data/su28/MMLEAv2/atmosphere/daily/Rx1day/ACCESS-ESM1-5/Rx1day_Aday_ACCESS-ESM1-5_historical_r10i1p1f1_g025_185001-201412.nc
Rx1day,MMLEAv2,atmosphere,ACCESS-ESM1-5,historical,r11i1p1f1,g025,Aday,185001-201412,Precipitation,/g/data/su28/MMLEAv2/atmosphere/daily/Rx1day/ACCESS-ESM1-5/Rx1day_Aday_ACCESS-ESM1-5_historical_r11i1p1f1_g025_185001-201412.nc
Rx1day,MMLEAv2,atmosphere,ACCESS-ESM1-5,historical,r12i1p1f1,g025,Aday,185001-201412,Precipitation,/g/data/su28/MMLEAv2/atmosphere/daily/Rx1day/ACCESS-ESM1-5/Rx1day_Aday_ACCESS-ESM1-5_historical_r12i1p1f1_g025_185001-201412.nc
Rx1day,MMLEAv2,atmosphere,ACCESS-ESM1-5,historical,r13i1p1f1,g025,Aday,185001-201412,Precipitation,/g/data/su28/MMLEAv2/atmosphere/daily/Rx1day/ACCESS-ESM1-5/Rx1day_Aday_ACCESS-ESM1-5_historical_r13i1p1f1_g025_185001-201412.nc
Rx1day,MMLEAv2,atmosphere,ACCESS-ESM1-5,historical,r14i1p1f1,g025,Aday,185001-201412,Precipitation,/g/data/su28/MMLEAv2/atmosphere/daily/Rx1day/ACCESS-ESM1-5/Rx1day_Aday_ACCESS-ESM1-5_historical_r14i1p1f1_g025_185001-201412.nc
Rx1day,MMLEAv2,atmosphere,ACCESS-ESM1-5,historical,r15i1p1f1,g025,Aday,185001-201412,Precipitation,/g/data/su28/MMLEAv2/atmosphere/daily/Rx1day/ACCESS-ESM1-5/Rx1day_Aday_ACCESS-ESM1-5_historical_r15i1p1f1_g025_185001-201412.nc
Rx1day,MMLEAv2,atmosphere,ACCESS-ESM1-5,historical,r16i1p1f1,g025,Aday,185001-201412,Precipitation,/g/data/su28/MMLEAv2/atmosphere/daily/Rx1day/ACCESS-ESM1-5/Rx1day_Aday_ACCESS-ESM1-5_historical_r16i1p1f1_g025_185001-201412.nc
Rx1day,MMLEAv2,atmosphere,ACCESS-ESM1-5,historical,r17i1p1f1,g025,Aday,185001-201412,Precipitation,/g/data/su28/MMLEAv2/atmosphere/daily/Rx1day/ACCESS-ESM1-5/Rx1day_Aday_ACCESS-ESM1-5_historical_r17i1p1f1_g025_185001-201412.nc
Rx1day,MMLEAv2,atmosphere,ACCESS-ESM1-5,historical,r18i1p1f1,g025,Aday,185001-201412,Precipitation,/g/data/su28/MMLEAv2/atmosphere/daily/Rx1day/ACCESS-ESM1-5/Rx1day_Aday_ACCESS-ESM1-5_historical_r18i1p1f1_g025_185001-201412.nc
Rx1day,MMLEAv2,atmosphere,ACCESS-ESM1-5,historical,r19i1p1f1,g025,Aday,185001-201412,Precipitation,/g/data/su28/MMLEAv2/atmosphere/daily/Rx1day/ACCESS-ESM1-5/Rx1day_Aday_ACCESS-ESM1-5_historical_r19i1p1f1_g025_185001-201412.nc
Rx1day,MMLEAv2,atmosphere,ACCESS-ESM1-5,historical,r1i1p1f1,g025,Aday,185001-201412,Precipitation,/g/data/su28/MMLEAv2/atmosphere/daily/Rx1day/ACCESS-ESM1-5/Rx1day_Aday_ACCESS-ESM1-5_historical_r1i1p1f1_g025_185001-201412.nc
Rx1day,MMLEAv2,atmosphere,ACCESS-ESM1-5,historical,r20i1p1f1,g025,Aday,185001-201412,Precipitation,/g/data/su28/MMLEAv2/atmosphere/daily/Rx1day/ACCESS-ESM1-5/Rx1day_Aday_ACCESS-ESM1-5_historical_r20i1p1f1_g025_185001-201412.nc
Rx1day,MMLEAv2,atmosphere,ACCESS-ESM1-5,historical,r21i1p1f1,g025,Aday,185001-201412,Precipitation,/g/data/su28/MMLEAv2/atmosphere/daily/Rx1day/ACCESS-ESM1-5/Rx1day_Aday_ACCESS-ESM1-5_historical_r21i1p1f1_g025_185001-201412.nc
Rx1day,MMLEAv2,atmosphere,ACCESS-ESM1-5,historical,r22i1p1f1,g025,Aday,185001-201412,Precipitation,/g/data/su28/MMLEAv2/atmosphere/daily/Rx1day/ACCESS-ESM1-5/Rx1day_Aday_ACCESS-ESM1-5_historical_r22i1p1f1_g025_185001-201412.nc
Rx1day,MMLEAv2,atmosphere,ACCESS-ESM1-5,historical,r23i1p1f1,g025,Aday,185001-201412,Precipitation,/g/data/su28/MMLEAv2/atmosphere/daily/Rx1day/ACCESS-ESM1-5/Rx1day_Aday_ACCESS-ESM1-5_historical_r23i1p1f1_g025_185001-201412.nc
Rx1day,MMLEAv2,atmosphere,ACCESS-ESM1-5,historical,r24i1p1f1,g025,Aday,185001-201412,Precipitation,/g/data/su28/MMLEAv2/atmosphere/daily/Rx1day/ACCESS-ESM1-5/Rx1day_Aday_ACCESS-ESM1-5_historical_r24i1p1f1_g025_185001-201412.nc
Rx1day,MMLEAv2,atmosphere,ACCESS-ESM1-5,historical,r25i1p1f1,g025,Aday,185001-201412,Precipitation,/g/data/su28/MMLEAv2/atmosphere/daily/Rx1day/ACCESS-ESM1-5/Rx1day_Aday_ACCESS-ESM1-5_historical_r25i1p1f1_g025_185001-201412.nc
Rx1day,MMLEAv2,atmosphere,ACCESS-ESM1-5,historical,r26i1p1f1,g025,Aday,185001-201412,Precipitation,/g/data/su28/MMLEAv2/atmosphere/daily/Rx1day/ACCESS-ESM1-5/Rx1day_Aday_ACCESS-ESM1-5_historical_r26i1p1f1_g025_185001-201412.nc
Rx1day,MMLEAv2,atmosphere,ACCESS-ESM1-5,historical,r27i1p1f1,g025,Aday,185001-201412,Precipitation,/g/data/su28/MMLEAv2/atmosphere/daily/Rx1day/ACCESS-ESM1-5/Rx1day_Aday_ACCESS-ESM1-5_historical_r27i1p1f1_g025_185001-201412.nc
Rx1day,MMLEAv2,atmosphere,ACCESS-ESM1-5,historical,r28i1p1f1,g025,Aday,185001-201412,Precipitation,/g/data/su28/MMLEAv2/atmosphere/daily/Rx1day/ACCESS-ESM1-5/Rx1day_Aday_ACCESS-ESM1-5_historical_r28i1p1f1_g025_185001-201412.nc
Rx1day,MMLEAv2,atmosphere,ACCESS-ESM1-5,historical,r29i1p1f1,g025,Aday,185001-201412,Precipitation,/g/data/su28/MMLEAv2/atmosphere/daily/Rx1day/ACCESS-ESM1-5/Rx1day_Aday_ACCESS-ESM1-5_historical_r29i1p1f1_g025_185001-201412.nc
