variable,dataset,level,resolution,frequency,year,name_in_file,long_name,units,path
2t,era5,sfc,1deg,daily,1950,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1950.nc
2t,era5,sfc,1deg,daily,1951,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1951.nc
2t,era5,sfc,1deg,daily,1952,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1952.nc
2t,era5,sfc,1deg,daily,1953,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1953.nc
2t,era5,sfc,1deg,daily,1954,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1954.nc
2t,era5,sfc,1deg,daily,1955,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1955.nc
2t,era5,sfc,1deg,daily,1956,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1956.nc
2t,era5,sfc,1deg,daily,1957,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1957.nc
2t,era5,sfc,1deg,daily,1958,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1958.nc
2t,era5,sfc,1deg,daily,1959,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1959.nc
2t,era5,sfc,1deg,daily,1960,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1960.nc
2t,era5,sfc,1deg,daily,1961,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1961.nc
2t,era5,sfc,1deg,daily,1962,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1962.nc
2t,era5,sfc,1deg,daily,1963,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1963.nc
2t,era5,sfc,1deg,daily,1964,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1964.nc
2t,era5,sfc,1deg,daily,1965,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1965.nc
2t,era5,sfc,1deg,daily,1966,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1966.nc
2t,era5,sfc,1deg,daily,1967,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1967.nc
2t,era5,sfc,1deg,daily,1968,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1968.nc
2t,era5,sfc,1deg,daily,1969,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1969.nc
2t,era5,sfc,1deg,daily,1970,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1970.nc
2t,era5,sfc,1deg,daily,1971,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1971.nc
2t,era5,sfc,1deg,daily,1972,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1972.nc
2t,era5,sfc,1deg,daily,1973,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1973.nc
2t,era5,sfc,1deg,daily,1974,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1974.nc
2t,era5,sfc,1deg,daily,1975,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1975.nc
2t,era5,sfc,1deg,daily,1976,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1976.nc
2t,era5,sfc,1deg,daily,1977,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1977.nc
2t,era5,sfc,1deg,daily,1978,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1978.nc
2t,era5,sfc,1deg,daily,1979,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1979.nc
2t,era5,sfc,1deg,daily,1980,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1980.nc
2t,era5,sfc,1deg,daily,1981,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1981.nc
2t,era5,sfc,1deg,daily,1982,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1982.nc
2t,era5,sfc,1deg,daily,1983,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1983.nc
2t,era5,sfc,1deg,daily,1984,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1984.nc
2t,era5,sfc,1deg,daily,1985,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1985.nc
2t,era5,sfc,1deg,daily,1986,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1986.nc
2t,era5,sfc,1deg,daily,1987,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1987.nc
2t,era5,sfc,1deg,daily,1988,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1988.nc
2t,era5,sfc,1deg,daily,1989,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1989.nc
2t,era5,sfc,1deg,daily,1990,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1990.nc
2t,era5,sfc,1deg,daily,1991,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1991.nc
2t,era5,sfc,1deg,daily,1992,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1992.nc
2t,era5,sfc,1deg,daily,1993,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1993.nc
2t,era5,sfc,1deg,daily,1994,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1994.nc
2t,era5,sfc,1deg,daily,1995,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1995.nc
2t,era5,sfc,1deg,daily,1996,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1996.nc
2t,era5,sfc,1deg,daily,1997,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1997.nc
2t,era5,sfc,1deg,daily,1998,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1998.nc
2t,era5,sfc,1deg,daily,1999,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_1999.nc
2t,era5,sfc,1deg,daily,2000,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_2000.nc
2t,era5,sfc,1deg,daily,2001,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_2001.nc
2t,era5,sfc,1deg,daily,2002,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_2002.nc
2t,era5,sfc,1deg,daily,2003,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_2003.nc
2t,era5,sfc,1deg,daily,2004,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_2004.nc
2t,era5,sfc,1deg,daily,2005,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_2005.nc
2t,era5,sfc,1deg,daily,2006,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_2006.nc
2t,era5,sfc,1deg,daily,2007,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_2007.nc
2t,era5,sfc,1deg,daily,2008,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_2008.nc
2t,era5,sfc,1deg,daily,2009,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_2009.nc
2t,era5,sfc,1deg,daily,2010,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_2010.nc
2t,era5,sfc,1deg,daily,2011,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_2011.nc
2t,era5,sfc,1deg,daily,2012,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_2012.nc
2t,era5,sfc,1deg,daily,2013,t2m,2 metre temperature,K,/g/data/su28/ERA5/daily/2t/2t_era5_oper_sfc_merge_1deg_daily_2013.nc
