variable,dataset,accumulation,resolution,frequency,year_month,reference,name_in_file,long_name,path
SPI,drought_era5,12,0.25,montly,194012,ref1991to2020,SPI12,Standardized Drought Index (SPI12),/g/data/su28/drought_era5/SPI/12m/SPI12_gamma_global_era5_moda_ref1991to2020_194012.nc
SPI,drought_era5,12,0.25,montly,194101,ref1991to2020,SPI12,Standardized Drought Index (SPI12),/g/data/su28/drought_era5/SPI/12m/SPI12_gamma_global_era5_moda_ref1991to2020_194101.nc
SPI,drought_era5,12,0.25,montly,194102,ref1991to2020,SPI12,Standardized Drought Index (SPI12),/g/data/su28/drought_era5/SPI/12m/SPI12_gamma_global_era5_moda_ref1991to2020_194102.nc
SPI,drought_era5,12,0.25,montly,194103,ref1991to2020,SPI12,Standardized Drought Index (SPI12),/g/data/su28/drought_era5/SPI/12m/SPI12_gamma_global_era5_moda_ref1991to2020_194103.nc
SPI,drought_era5,12,0.25,montly,194104,ref1991to2020,SPI12,Standardized Drought Index (SPI12),/g/data/su28/drought_era5/SPI/12m/SPI12_gamma_global_era5_moda_ref1991to2020_194104.nc
SPI,drought_era5,12,0.25,montly,194105,ref1991to2020,SPI12,Standardized Drought Index (SPI12),/g/data/su28/drought_era5/SPI/12m/SPI12_gamma_global_era5_moda_ref1991to2020_194105.nc
SPI,drought_era5,12,0.25,montly,194106,ref1991to2020,SPI12,Standardized Drought Index (SPI12),/g/data/su28/drought_era5/SPI/12m/SPI12_gamma_global_era5_moda_ref1991to2020_194106.nc
SPI,drought_era5,12,0.25,montly,194107,ref1991to2020,SPI12,Standardized Drought Index (SPI12),/g/data/su28/drought_era5/SPI/12m/SPI12_gamma_global_era5_moda_ref1991to2020_194107.nc
SPI,drought_era5,12,0.25,montly,194108,ref1991to2020,SPI12,Standardized Drought Index (SPI12),/g/data/su28/drought_era5/SPI/12m/SPI12_gamma_global_era5_moda_ref1991to2020_194108.nc
SPI,drought_era5,12,0.25,montly,194109,ref1991to2020,SPI12,Standardized Drought Index (SPI12),/g/data/su28/drought_era5/SPI/12m/SPI12_gamma_global_era5_moda_ref1991to2020_194109.nc
SPI,drought_era5,12,0.25,montly,194110,ref1991to2020,SPI12,Standardized Drought Index (SPI12),/g/data/su28/drought_era5/SPI/12m/SPI12_gamma_global_era5_moda_ref1991to2020_194110.nc
SPI,drought_era5,12,0.25,montly,194111,ref1991to2020,SPI12,Standardized Drought Index (SPI12),/g/data/su28/drought_era5/SPI/12m/SPI12_gamma_global_era5_moda_ref1991to2020_194111.nc
SPI,drought_era5,12,0.25,montly,194112,ref1991to2020,SPI12,Standardized Drought Index (SPI12),/g/data/su28/drought_era5/SPI/12m/SPI12_gamma_global_era5_moda_ref1991to2020_194112.nc
SPI,drought_era5,12,0.25,montly,194201,ref1991to2020,SPI12,Standardized Drought Index (SPI12),/g/data/su28/drought_era5/SPI/12m/SPI12_gamma_global_era5_moda_ref1991to2020_194201.nc
SPI,drought_era5,12,0.25,montly,194202,ref1991to2020,SPI12,Standardized Drought Index (SPI12),/g/data/su28/drought_era5/SPI/12m/SPI12_gamma_global_era5_moda_ref1991to2020_194202.nc
SPI,drought_era5,12,0.25,montly,194203,ref1991to2020,SPI12,Standardized Drought Index (SPI12),/g/data/su28/drought_era5/SPI/12m/SPI12_gamma_global_era5_moda_ref1991to2020_194203.nc
SPI,drought_era5,12,0.25,montly,194204,ref1991to2020,SPI12,Standardized Drought Index (SPI12),/g/data/su28/drought_era5/SPI/12m/SPI12_gamma_global_era5_moda_ref1991to2020_194204.nc
SPI,drought_era5,12,0.25,montly,194205,ref1991to2020,SPI12,Standardized Drought Index (SPI12),/g/data/su28/drought_era5/SPI/12m/SPI12_gamma_global_era5_moda_ref1991to2020_194205.nc
SPI,drought_era5,12,0.25,montly,194206,ref1991to2020,SPI12,Standardized Drought Index (SPI12),/g/data/su28/drought_era5/SPI/12m/SPI12_gamma_global_era5_moda_ref1991to2020_194206.nc
SPI,drought_era5,12,0.25,montly,194207,ref1991to2020,SPI12,Standardized Drought Index (SPI12),/g/data/su28/drought_era5/SPI/12m/SPI12_gamma_global_era5_moda_ref1991to2020_194207.nc
SPI,drought_era5,12,0.25,montly,194208,ref1991to2020,SPI12,Standardized Drought Index (SPI12),/g/data/su28/drought_era5/SPI/12m/SPI12_gamma_global_era5_moda_ref1991to2020_194208.nc
SPI,drought_era5,12,0.25,montly,194209,ref1991to2020,SPI12,Standardized Drought Index (SPI12),/g/data/su28/drought_era5/SPI/12m/SPI12_gamma_global_era5_moda_ref1991to2020_194209.nc
SPI,drought_era5,12,0.25,montly,194210,ref1991to2020,SPI12,Standardized Drought Index (SPI12),/g/data/su28/drought_era5/SPI/12m/SPI12_gamma_global_era5_moda_ref1991to2020_194210.nc
SPI,drought_era5,12,0.25,montly,194211,ref1991to2020,SPI12,Standardized Drought Index (SPI12),/g/data/su28/drought_era5/SPI/12m/SPI12_gamma_global_era5_moda_ref1991to2020_194211.nc
SPI,drought_era5,12,0.25,montly,194212,ref1991to2020,SPI12,Standardized Drought Index (SPI12),/g/data/su28/drought_era5/SPI/12m/SPI12_gamma_global_era5_moda_ref1991to2020_194212.nc
SPI,drought_era5,12,0.25,montly,194301,ref1991to2020,SPI12,Standardized Drought Index (SPI12),/g/data/su28/drought_era5/SPI/12m/SPI12_gamma_global_era5_moda_ref1991to2020_194301.nc
SPI,drought_era5,12,0.25,montly,194302,ref1991to2020,SPI12,Standardized Drought Index (SPI12),/g/data/su28/drought_era5/SPI/12m/SPI12_gamma_global_era5_moda_ref1991to2020_194302.nc
SPI,drought_era5,12,0.25,montly,194303,ref1991to2020,SPI12,Standardized Drought Index (SPI12),/g/data/su28/drought_era5/SPI/12m/SPI12_gamma_global_era5_moda_ref1991to2020_194303.nc
SPI,drought_era5,12,0.25,montly,194304,ref1991to2020,SPI12,Standardized Drought Index (SPI12),/g/data/su28/drought_era5/SPI/12m/SPI12_gamma_global_era5_moda_ref1991to2020_194304.nc
SPI,drought_era5,12,0.25,montly,194305,ref1991to2020,SPI12,Standardized Drought Index (SPI12),/g/data/su28/drought_era5/SPI/12m/SPI12_gamma_global_era5_moda_ref1991to2020_194305.nc
SPI,drought_era5,12,0.25,montly,194306,ref1991to2020,SPI12,Standardized Drought Index (SPI12),/g/data/su28/drought_era5/SPI/12m/SPI12_gamma_global_era5_moda_ref1991to2020_194306.nc
SPI,drought_era5,12,0.25,montly,194307,ref1991to2020,SPI12,Standardized Drought Index (SPI12),/g/data/su28/drought_era5/SPI/12m/SPI12_gamma_global_era5_moda_ref1991to2020_194307.nc
