variable,dataset,frequency,resolution,year,month,name_in_file,path
maxcl,weatherfeatures,1hourly,0.5degree,1950,02,['FLAG'],/g/data/su28/weatherfeatures.era5/maxcl/cdf/1950/A1950_02.nc
maxcl,weatherfeatures,1hourly,0.5degree,1950,03,['FLAG'],/g/data/su28/weatherfeatures.era5/maxcl/cdf/1950/A1950_03.nc
maxcl,weatherfeatures,1hourly,0.5degree,1950,04,['FLAG'],/g/data/su28/weatherfeatures.era5/maxcl/cdf/1950/A1950_04.nc
maxcl,weatherfeatures,1hourly,0.5degree,1950,05,['FLAG'],/g/data/su28/weatherfeatures.era5/maxcl/cdf/1950/A1950_05.nc
maxcl,weatherfeatures,1hourly,0.5degree,1950,06,['FLAG'],/g/data/su28/weatherfeatures.era5/maxcl/cdf/1950/A1950_06.nc
maxcl,weatherfeatures,1hourly,0.5degree,1950,07,['FLAG'],/g/data/su28/weatherfeatures.era5/maxcl/cdf/1950/A1950_07.nc
maxcl,weatherfeatures,1hourly,0.5degree,1950,08,['FLAG'],/g/data/su28/weatherfeatures.era5/maxcl/cdf/1950/A1950_08.nc
maxcl,weatherfeatures,1hourly,0.5degree,1950,09,['FLAG'],/g/data/su28/weatherfeatures.era5/maxcl/cdf/1950/A1950_09.nc
maxcl,weatherfeatures,1hourly,0.5degree,1950,10,['FLAG'],/g/data/su28/weatherfeatures.era5/maxcl/cdf/1950/A1950_10.nc
maxcl,weatherfeatures,1hourly,0.5degree,1950,11,['FLAG'],/g/data/su28/weatherfeatures.era5/maxcl/cdf/1950/A1950_11.nc
maxcl,weatherfeatures,1hourly,0.5degree,1950,12,['FLAG'],/g/data/su28/weatherfeatures.era5/maxcl/cdf/1950/A1950_12.nc
maxcl,weatherfeatures,1hourly,0.5degree,1951,01,['FLAG'],/g/data/su28/weatherfeatures.era5/maxcl/cdf/1951/A1951_01.nc
maxcl,weatherfeatures,1hourly,0.5degree,1951,02,['FLAG'],/g/data/su28/weatherfeatures.era5/maxcl/cdf/1951/A1951_02.nc
maxcl,weatherfeatures,1hourly,0.5degree,1951,03,['FLAG'],/g/data/su28/weatherfeatures.era5/maxcl/cdf/1951/A1951_03.nc
maxcl,weatherfeatures,1hourly,0.5degree,1951,04,['FLAG'],/g/data/su28/weatherfeatures.era5/maxcl/cdf/1951/A1951_04.nc
maxcl,weatherfeatures,1hourly,0.5degree,1951,05,['FLAG'],/g/data/su28/weatherfeatures.era5/maxcl/cdf/1951/A1951_05.nc
maxcl,weatherfeatures,1hourly,0.5degree,1951,06,['FLAG'],/g/data/su28/weatherfeatures.era5/maxcl/cdf/1951/A1951_06.nc
maxcl,weatherfeatures,1hourly,0.5degree,1951,07,['FLAG'],/g/data/su28/weatherfeatures.era5/maxcl/cdf/1951/A1951_07.nc
maxcl,weatherfeatures,1hourly,0.5degree,1951,08,['FLAG'],/g/data/su28/weatherfeatures.era5/maxcl/cdf/1951/A1951_08.nc
maxcl,weatherfeatures,1hourly,0.5degree,1951,09,['FLAG'],/g/data/su28/weatherfeatures.era5/maxcl/cdf/1951/A1951_09.nc
maxcl,weatherfeatures,1hourly,0.5degree,1951,10,['FLAG'],/g/data/su28/weatherfeatures.era5/maxcl/cdf/1951/A1951_10.nc
maxcl,weatherfeatures,1hourly,0.5degree,1951,11,['FLAG'],/g/data/su28/weatherfeatures.era5/maxcl/cdf/1951/A1951_11.nc
maxcl,weatherfeatures,1hourly,0.5degree,1951,12,['FLAG'],/g/data/su28/weatherfeatures.era5/maxcl/cdf/1951/A1951_12.nc
maxcl,weatherfeatures,1hourly,0.5degree,1952,01,['FLAG'],/g/data/su28/weatherfeatures.era5/maxcl/cdf/1952/A1952_01.nc
maxcl,weatherfeatures,1hourly,0.5degree,1952,02,['FLAG'],/g/data/su28/weatherfeatures.era5/maxcl/cdf/1952/A1952_02.nc
maxcl,weatherfeatures,1hourly,0.5degree,1952,03,['FLAG'],/g/data/su28/weatherfeatures.era5/maxcl/cdf/1952/A1952_03.nc
maxcl,weatherfeatures,1hourly,0.5degree,1952,04,['FLAG'],/g/data/su28/weatherfeatures.era5/maxcl/cdf/1952/A1952_04.nc
maxcl,weatherfeatures,1hourly,0.5degree,1952,05,['FLAG'],/g/data/su28/weatherfeatures.era5/maxcl/cdf/1952/A1952_05.nc
maxcl,weatherfeatures,1hourly,0.5degree,1952,06,['FLAG'],/g/data/su28/weatherfeatures.era5/maxcl/cdf/1952/A1952_06.nc
